Ad Account ID,Ad Account Name,Campaign Name,Age,Gender,Amount Spent (THB),Impressions,Reach,3-Second Video Plays,New Messaging Connections,Reporting Starts,Reporting Ends,Account ID,Account Name,Currency,Campaign ID,Objective,Purchases,Mobile App Purchases,Website Purchases,On-Facebook Purchases,Unique Purchases,Unique Mobile App Purchases,Purchases Conversion Value,Mobile App Purchases Conversion Value,Website Purchases Conversion Value,On-Facebook Purchase Conversion Value,Cost per Purchase (THB),Cost per Unique Purchase (THB),Link Clicks
175101523305309,Advance BIO,201011_Cafe Set_Message_BKK,25-34,female,168.69,1432,1284,21,2,20/11/2020,20/11/2020,175101523305309,Advance BIO,THB,23846092185240585,Messages,,,,,,,,,,,,,3
175101523305309,Advance BIO,201011_Cafe Set_Message_BKK,25-34,female,168.04,1289,1161,18,,26/11/2020,26/11/2020,175101523305309,Advance BIO,THB,23846092185240585,Messages,,,,,,,,,,,,,1
175101523305309,Advance BIO,201011_Cafe Set_Message_BKK,25-34,female,166.42,1612,1453,17,1,21/11/2020,21/11/2020,175101523305309,Advance BIO,THB,23846092185240585,Messages,,,,,,,,,,,,,7
175101523305309,Advance BIO,201011_Cafe Set_Message_BKK,25-34,female,165.9,1461,1296,15,3,19/11/2020,19/11/2020,175101523305309,Advance BIO,THB,23846092185240585,Messages,,,,,,,,,,,,,6
175101523305309,Advance BIO,201011_Cafe Set_Message_BKK,25-34,female,163.8,1451,1281,13,4,17/11/2020,17/11/2020,175101523305309,Advance BIO,THB,23846092185240585,Messages,,,,,,,,,,,,,2
175101523305309,Advance BIO,201011_Cafe Set_Message_BKK,25-34,female,160.81,1591,1428,21,1,25/11/2020,25/11/2020,175101523305309,Advance BIO,THB,23846092185240585,Messages,,,,,,,,,,,,,4
175101523305309,Advance BIO,201011_Cafe Set_Message_BKK,25-34,female,160.54,1480,1329,24,3,24/11/2020,24/11/2020,175101523305309,Advance BIO,THB,23846092185240585,Messages,,,,,,,,,,,,,1
175101523305309,Advance BIO,201011_Cafe Set_Message_BKK,25-34,female,156.13,1315,1162,31,2,22/11/2020,22/11/2020,175101523305309,Advance BIO,THB,23846092185240585,Messages,,,,,,,,,,,,,2
175101523305309,Advance BIO,201011_Cafe Set_Message_BKK,25-34,female,155.79,1439,1285,17,,18/11/2020,18/11/2020,175101523305309,Advance BIO,THB,23846092185240585,Messages,,,,,,,,,,,,,2
175101523305309,Advance BIO,201011_Cafe Set_Message_BKK,35-44,female,144.06,959,868,21,1,21/11/2020,21/11/2020,175101523305309,Advance BIO,THB,23846092185240585,Messages,1,,,1,1,,3170,,,3170,144.06,144.06,4
175101523305309,Advance BIO,200930_Postal Bag_Message,25-34,female,142.1261652,1300,1200,,,14/11/2020,14/11/2020,175101523305309,Advance BIO,THB,23845978733110585,Messages,,,,,,,,,,,,,
175101523305309,Advance BIO,201011_Cafe Set_Message_BKK,25-34,female,138.27,1198,1081,15,1,16/11/2020,16/11/2020,175101523305309,Advance BIO,THB,23846092185240585,Messages,,,,,,,,,,,,,1
175101523305309,Advance BIO,201011_Cafe Set_Message_BKK,35-44,female,137.88,819,722,34,2,23/11/2020,23/11/2020,175101523305309,Advance BIO,THB,23846092185240585,Messages,,,,,,,,,,,,,6
175101523305309,Advance BIO,201116_Set Product_Post Eng,25-34,male,136.05,1004,883,,,25/11/2020,25/11/2020,175101523305309,Advance BIO,THB,23846348075400585,Engagement,,,,,,,,,,,,,5
175101523305309,Advance BIO,201011_Cafe Set_Message_BKK,25-34,female,135.42,1289,1144,9,1,23/11/2020,23/11/2020,175101523305309,Advance BIO,THB,23846092185240585,Messages,1,,,1,1,,10486,,,10486,135.42,135.42,7
175101523305309,Advance BIO,201116_Set Product_Post Eng,25-34,male,134.94,1033,954,,,26/11/2020,26/11/2020,175101523305309,Advance BIO,THB,23846348075400585,Engagement,,,,,,,,,,,,,6
175101523305309,Advance BIO,200607_Cafe Cup_Message_BKK,35-44,female,133.97,703,655,,2,21/11/2020,21/11/2020,175101523305309,Advance BIO,THB,23845008185380585,Messages,,,,,,,,,,,,,4
175101523305309,Advance BIO,200607_Cafe Cup_Message_BKK,25-34,female,132,811,725,,,24/11/2020,24/11/2020,175101523305309,Advance BIO,THB,23845008185380585,Messages,1,,,1,1,,1930,,,1930,132,132,2
175101523305309,Advance BIO,200930_Postal Bag_Message,25-34,female,130.67,1136,1068,,,12/11/2020,12/11/2020,175101523305309,Advance BIO,THB,23845978733110585,Messages,,,,,,,,,,,,,2
175101523305309,Advance BIO,200607_Cafe Cup_Message_BKK,25-34,female,127.56,1071,967,,1,17/11/2020,17/11/2020,175101523305309,Advance BIO,THB,23845008185380585,Messages,,,,,,,,,,,,,2
175101523305309,Advance BIO,200607_Cafe Cup_Message_BKK,35-44,female,127.13,696,619,,3,22/11/2020,22/11/2020,175101523305309,Advance BIO,THB,23845008185380585,Messages,,,,,,,,,,,,,4
175101523305309,Advance BIO,200607_Cafe Cup_Message_BKK,35-44,female,126.61,643,597,,3,25/11/2020,25/11/2020,175101523305309,Advance BIO,THB,23845008185380585,Messages,,,,,,,,,,,,,2
175101523305309,Advance BIO,200607_Cafe Cup_Message_BKK,25-34,female,126.1,775,699,,,19/11/2020,19/11/2020,175101523305309,Advance BIO,THB,23845008185380585,Messages,,,,,,,,,,,,,4
175101523305309,Advance BIO,200607_Cafe Cup_Message_BKK,25-34,female,126.04,754,681,,,18/11/2020,18/11/2020,175101523305309,Advance BIO,THB,23845008185380585,Messages,,,,,,,,,,,,,2
175101523305309,Advance BIO,200607_Cafe Cup_Message_BKK,25-34,female,125.45,709,654,,4,26/11/2020,26/11/2020,175101523305309,Advance BIO,THB,23845008185380585,Messages,,,,,,,,,,,,,4
